"filename", "language", "JSON", "XML", "JavaScript", "Markdown", "HTML", "SCSS", "Ruby", "TypeScript", "YAML", "comment", "blank", "total"
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\main-menu\main-menu.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\main-menu\main-menu.component.scss", "SCSS", 0, 0, 0, 0, 0, 74, 0, 0, 0, 2, 14, 90
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\main-menu\main-menu.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\main-menu\main-menu.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 109, 0, 1, 16, 126
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\map-box\map-box.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\map-box\map-box.component.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\map-box\map-box.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\map-box\map-box.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 644, 0, 8, 59, 711
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-assembly\ride-indicator-assembly.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 29
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-assembly\ride-indicator-assembly.component.scss", "SCSS", 0, 0, 0, 0, 0, 133, 0, 0, 0, 4, 30, 167
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-assembly\ride-indicator-assembly.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-assembly\ride-indicator-assembly.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-final\ride-indicator-final.component.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-final\ride-indicator-final.component.scss", "SCSS", 0, 0, 0, 0, 0, 124, 0, 0, 0, 4, 32, 160
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-final\ride-indicator-final.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-final\ride-indicator-final.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-free\ride-indicator-free.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 10
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-free\ride-indicator-free.component.scss", "SCSS", 0, 0, 0, 0, 0, 85, 0, 0, 0, 4, 23, 112
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-free\ride-indicator-free.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator-free\ride-indicator-free.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 6, 46
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator\ride-indicator.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator\ride-indicator.component.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator\ride-indicator.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-indicator\ride-indicator.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 4, 5, 39
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-assembly\ride-map-assembly.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-assembly\ride-map-assembly.component.scss", "SCSS", 0, 0, 0, 0, 0, 153, 0, 0, 0, 4, 31, 188
"c:\Users\juliu\Documents\KBSE\Minimal22\src\app\Components\ride-map-assembly\ride-map-assembly.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
